"Date","Conditional_Volatility"
2005-01-04,4.1859623942307e-05
2005-01-05,4.18375482937196e-05
2005-01-06,4.18154656552599e-05
2005-01-07,4.1793404609552e-05
2005-01-10,4.17713648138539e-05
2005-01-11,4.1749348187684e-05
2005-01-12,4.1727359880767e-05
2005-01-13,4.1705388773162e-05
2005-01-14,4.16834541472195e-05
2005-01-18,4.16615325392155e-05
2005-01-19,4.16396372625231e-05
2005-01-20,4.16177680457707e-05
2005-01-21,4.15959164297209e-05
2005-01-24,4.15740818172063e-05
2005-01-25,4.15522640132131e-05
2005-01-26,4.15304680779964e-05
2005-01-27,4.15086942723886e-05
2005-01-28,4.14869389728593e-05
2005-01-31,4.14652073948155e-05
2005-02-01,4.14435093852659e-05
2005-02-02,4.07833710418288e-05
2005-02-03,4.07608608389952e-05
2005-02-04,4.07384271688407e-05
2005-02-07,4.07201039363447e-05
2005-02-08,4.06975634851443e-05
2005-02-09,4.06748839662083e-05
2005-02-10,4.06557275420214e-05
2005-02-11,4.0634236836314e-05
2005-02-14,4.06121600734943e-05
2005-02-15,4.05896078315438e-05
2005-02-16,4.05670008008436e-05
2005-02-17,4.05443930428865e-05
2005-02-18,4.05247165657409e-05
2005-02-22,4.05022718208257e-05
2005-02-23,4.04889093802299e-05
2005-02-24,4.04685679863355e-05
2005-02-25,4.04467433150896e-05
2005-02-28,4.04285256282592e-05
2005-03-01,4.04090403254487e-05
2005-03-02,4.03890507282249e-05
2005-03-03,4.00314092350082e-05
2005-03-04,3.99830570879743e-05
2005-03-07,3.99667666916411e-05
2005-03-08,3.99217998857222e-05
2005-03-09,3.98875110159365e-05
2005-03-10,3.98831524852832e-05
2005-03-11,3.98352551682967e-05
2005-03-14,3.98142245689331e-05
2005-03-15,3.97801230927719e-05
2005-03-16,3.97625210716094e-05
2005-03-17,3.97414581784166e-05
2005-03-18,3.969365352057e-05
2005-03-21,3.96452074325878e-05
2005-03-22,3.96097258857011e-05
2005-03-23,3.96095738322023e-05
2005-03-24,3.9561309087609e-05
2005-03-28,3.95137242803358e-05
2005-03-29,3.94681146124907e-05
2005-03-30,3.94504305747522e-05
2005-03-31,3.94938711304176e-05
2005-04-01,4.06189988597166e-05
2005-04-04,4.06063945383037e-05
2005-04-05,4.05935383679973e-05
2005-04-06,4.05808569134563e-05
2005-04-07,4.05680135866982e-05
2005-04-08,4.05554976234448e-05
2005-04-11,4.05433882846966e-05
2005-04-12,4.05305670055595e-05
2005-04-13,4.05179349650194e-05
2005-04-14,4.05062714551122e-05
2005-04-15,4.0494417377184e-05
2005-04-18,4.04840198820541e-05
2005-04-19,4.0471324097407e-05
2005-04-20,4.04588376958194e-05
2005-04-21,4.04476827883283e-05
2005-04-22,4.04383215176152e-05
2005-04-25,4.04261469417415e-05
2005-04-26,4.04142251784641e-05
2005-04-27,4.04024574555201e-05
2005-04-28,4.03900100154379e-05
2005-04-29,4.74569453442206e-05
2005-05-02,4.74575722724273e-05
2005-05-03,4.74581952397967e-05
2005-05-04,4.74588169449334e-05
2005-05-05,4.74594426451561e-05
