"Date","Realized_Volatility"
2005-01-04,0.000137827702953153
2005-01-05,1.32091482496455e-05
2005-01-06,1.22480883003048e-05
2005-01-07,2.05118447610576e-06
2005-01-10,1.16753995793823e-05
2005-01-11,3.74329276603118e-05
2005-01-12,1.57886948310766e-05
2005-01-13,7.51269602891202e-05
2005-01-14,3.58394278352053e-05
2005-01-18,9.27036010136001e-05
2005-01-19,9.09242914792665e-05
2005-01-20,6.10498709627652e-05
2005-01-21,4.14153940840242e-05
2005-01-24,1.2489318929381e-05
2005-01-25,1.59706522829094e-05
2005-01-26,2.33522795088116e-05
2005-01-27,1.6714850674025e-07
2005-01-28,7.39667387286891e-06
2005-01-31,7.09754525288688e-05
2005-02-01,4.71593582280017e-05
2005-02-02,1.00674790717201e-05
2005-02-03,7.66993918349403e-06
2005-02-04,0.000120615756603188
2005-02-07,1.18713921451415e-06
2005-02-08,2.32893208989594e-07
2005-02-09,7.41709957383269e-05
2005-02-10,1.76619960757793e-05
2005-02-11,4.76341558945738e-05
2005-02-14,4.85322371342386e-07
2005-02-15,1.08526382306293e-05
2005-02-16,3.30364880845908e-08
2005-02-17,6.32807851535416e-05
2005-02-18,4.89006151526393e-07
2005-02-22,0.000213509374445584
2005-02-23,3.12671070207804e-05
2005-02-24,6.18232735684149e-05
2005-02-25,8.58175754643538e-05
2005-02-28,4.14079509141568e-05
2005-03-01,3.18336076698166e-05
2005-03-02,7.43852628550194e-08
2005-03-03,1.03846950232267e-07
2005-03-04,9.17450160536664e-05
2005-03-07,6.7957681764929e-06
2005-03-08,2.31393759936544e-05
2005-03-09,0.000104803239248403
2005-03-10,3.43767770630771e-06
2005-03-11,5.79447987132467e-05
2005-03-14,3.145937883451e-05
2005-03-15,5.70365394298481e-05
2005-03-16,6.58483597602555e-05
2005-03-17,3.23867809888788e-06
2005-03-18,2.21429146755545e-07
2005-03-21,2.44672053863114e-05
2005-03-22,0.000105032699403257
2005-03-23,4.89503721550163e-07
2005-03-24,8.97011141782515e-07
2005-03-28,5.94624879463843e-06
2005-03-29,5.81433575425302e-05
2005-03-30,0.000187104911327941
2005-03-31,4.82170184061797e-07
2005-04-01,4.24827720687707e-05
2005-04-04,7.42277664934613e-06
2005-04-05,1.99884352132781e-05
2005-04-06,5.13424504621458e-06
2005-04-07,3.54409839495262e-05
2005-04-08,7.022464287929e-05
2005-04-11,7.18120453593094e-11
2005-04-12,3.05796259320478e-05
2005-04-13,0.000139980263220142
2005-04-14,0.000101045403241814
2005-04-15,0.000284322388851354
2005-04-18,8.62175356873043e-06
2005-04-19,3.50025206566026e-05
2005-04-20,0.000178050861963925
2005-04-21,0.0003819674201567
2005-04-22,4.58754169079137e-05
2005-04-25,7.43901585751058e-05
2005-04-26,7.87966630607012e-05
2005-04-27,1.55432778022462e-05
2005-04-28,0.000131002298996379
2005-04-29,0.000140468871982027
2005-05-02,2.0972726316918e-05
2005-05-03,7.26273227751417e-07
2005-05-04,0.000153587726977428
2005-05-05,6.61576704048128e-06
2005-05-06,1.19286721059566e-06
2005-05-09,4.06274447669266e-05
2005-05-10,0.000115845416644345
2005-05-11,1.75082011863534e-05
2005-05-12,0.000101684805508432
2005-05-13,2.10734162510447e-05
2005-05-16,0.000100713249119342
2005-05-17,4.8070019838925e-05
2005-05-18,9.9378877117515e-05
2005-05-19,2.15772833045496e-05
2005-05-20,2.28709677419316e-06
2005-05-23,1.47735397425395e-05
2005-05-24,3.09238701928408e-08
2005-05-25,1.15999918750148e-05
2005-05-26,4.06346495206892e-05
2005-05-27,9.37309458905289e-07
2005-05-31,3.71049085188272e-05
2005-06-01,8.02243688120918e-05
2005-06-02,2.95974458906326e-06
2005-06-03,4.74834000002297e-05
2005-06-06,1.55006241706997e-06
2005-06-07,4.35925612871396e-08
2005-06-08,4.68976893011889e-06
2005-06-09,2.73138767609497e-05
2005-06-10,5.52719352231636e-06
2005-06-13,5.10447752584414e-06
2005-06-14,6.60494944601196e-06
2005-06-15,4.90734723503249e-06
2005-06-16,1.31299424869799e-05
2005-06-17,2.4428429265269e-05
2005-06-20,4.99731263462368e-07
2005-06-21,4.20094228274023e-06
2005-06-22,4.94920516374743e-08
2005-06-23,0.000118639064184758
2005-06-24,5.8644484162521e-05
2005-06-27,5.45823108260583e-07
2005-06-28,8.27384620777419e-05
2005-06-29,2.05194643936486e-06
2005-06-30,5.07832315613262e-05
2005-07-01,6.79704368392421e-06
2005-07-05,7.73318471348199e-05
2005-07-06,7.01462223860952e-05
2005-07-07,5.99784421542385e-06
2005-07-08,0.000134824187254857
2005-07-11,3.88793599786352e-05
2005-07-12,5.14824541722185e-06
2005-07-13,7.80252293910663e-07
2005-07-14,6.86755671046599e-06
2005-07-15,1.33895468533613e-06
2005-07-18,3.07476154935623e-05
2005-07-19,4.50092183511361e-05
2005-07-20,2.25369161479349e-05
2005-07-21,4.39312309124264e-05
2005-07-22,2.9125657858313e-05
2005-07-25,1.42608336088768e-05
2005-07-26,2.99836214529352e-06
2005-07-27,2.08164324616945e-05
2005-07-28,3.12203799785808e-05
2005-07-29,5.92906094854591e-05
2005-08-01,8.97728796092729e-07
2005-08-02,5.00434254176249e-05
2005-08-03,5.46476556146223e-07
2005-08-04,5.47691339082353e-05
2005-08-05,5.8793316447129e-05
2005-08-08,7.2158913878975e-06
2005-08-09,4.51899170651816e-05
2005-08-10,3.34483729796152e-06
2005-08-11,4.95212051067858e-05
2005-08-12,3.61505443360413e-05
2005-08-15,7.97702812124138e-06
2005-08-16,0.000140324560081591
2005-08-17,5.44425549741859e-07
2005-08-18,1.00055893603235e-06
2005-08-19,3.20152574837729e-07
2005-08-22,2.73828871244806e-06
2005-08-23,1.15219781370052e-05
2005-08-24,4.34549410806373e-05
2005-08-25,5.27017697975731e-06
2005-08-26,3.61752539754321e-05
2005-08-29,3.52880841558426e-05
2005-08-30,1.02235844912103e-05
2005-08-31,9.63500037423768e-05
2005-09-01,1.06498883466655e-06
2005-09-02,8.56531167891837e-06
2005-09-06,0.000157248645582652
2005-09-07,5.78440579331294e-06
2005-09-08,1.44442498299379e-05
2005-09-09,6.29355478654528e-05
2005-09-12,5.49470470080185e-07
2005-09-13,5.73605366750935e-05
2005-09-14,1.08022618423207e-05
2005-09-15,2.15607462692076e-07
2005-09-16,6.81876505107198e-05
2005-09-19,3.11519304155101e-05
2005-09-20,6.23234654695429e-05
2005-09-21,8.3960455375738e-05
2005-09-22,1.3290922823509e-05
2005-09-23,3.04148864055543e-07
2005-09-26,7.82328514106497e-08
2005-09-27,6.10206425861314e-10
2005-09-28,1.02266390267336e-06
2005-09-29,7.79303606624305e-05
2005-09-30,8.46429228930223e-07
2005-10-03,2.95383285993584e-06
2005-10-04,0.000100397469042113
2005-10-05,0.000224971258953922
2005-10-06,1.68435139412052e-05
2005-10-07,1.36489154667553e-05
2005-10-10,5.17249882124234e-05
2005-10-11,4.30144267168819e-06
2005-10-12,3.7046854546289e-05
2005-10-13,5.09219120706392e-07
2005-10-14,6.77970395739453e-05
2005-10-17,8.82428466400426e-06
2005-10-18,0.000102017688057929
2005-10-19,0.000220375169850671
2005-10-20,0.000229027110405013
2005-10-21,2.30601995366884e-06
2005-10-24,0.000276818690951485
2005-10-25,5.62007334024256e-06
2005-10-26,1.86778523550776e-05
2005-10-27,0.000110891054765465
2005-10-28,0.000269415643805876
2005-10-31,5.11300571118136e-05
2005-11-01,1.24419244003351e-05
2005-11-02,9.8557450114195e-05
2005-11-03,1.8105831095014e-05
2005-11-04,2.68924207991064e-08
2005-11-07,4.7782401490993e-06
2005-11-08,1.19516251699394e-05
2005-11-09,2.85305590103491e-06
2005-11-10,7.07415109337231e-05
2005-11-11,9.30176170717325e-06
2005-11-14,6.0493392225264e-07
2005-11-15,1.48799191495015e-05
2005-11-16,3.19844161336582e-06
2005-11-17,8.77883526257728e-05
2005-11-18,1.9286769980169e-05
2005-11-21,2.76404200953735e-05
2005-11-22,2.57190545216191e-05
2005-11-23,1.2018619222982e-05
2005-11-25,4.3421792979139e-06
2005-11-28,7.3003613188468e-05
2005-11-29,2.5346182855237e-10
2005-11-30,4.07331613970727e-05
2005-12-01,0.000146018323934796
2005-12-02,1.05023451314008e-07
2005-12-05,5.59926533850451e-06
2005-12-06,1.62521008198772e-06
2005-12-07,2.5216999864766e-05
2005-12-08,1.48252507426048e-06
2005-12-09,7.87895631539984e-06
2005-12-12,7.07925611862629e-07
2005-12-13,3.06727149738306e-05
2005-12-14,1.74789095555153e-05
2005-12-15,2.00310530402487e-06
2005-12-16,8.13587704157495e-06
2005-12-19,3.42942634855015e-05
2005-12-20,5.67285047614054e-08
2005-12-21,6.31770936912829e-06
2005-12-22,1.77400613213489e-05
2005-12-23,1.8127784663442e-07
2005-12-27,9.21467376912913e-05
2005-12-28,1.68059117014054e-06
2005-12-29,8.91004479397912e-06
2005-12-30,2.39972945706546e-05
2006-01-03,0.000265591046744173
2006-01-04,1.34392948812957e-05
2006-01-05,2.47132801255835e-10
2006-01-06,8.75257242374266e-05
2006-01-09,1.33202808648107e-05
2006-01-10,1.27217499580903e-07
2006-01-11,1.20790827122395e-05
2006-01-12,3.96144973685279e-05
2006-01-13,1.45069700012606e-06
2006-01-17,1.32584032580615e-05
2006-01-18,1.52485797011667e-05
2006-01-19,3.0783114273941e-05
2006-01-20,0.000342113942694392
2006-01-23,3.40507217950087e-06
2006-01-24,5.77223886933524e-06
2006-01-25,2.96603556864949e-06
2006-01-26,5.19683478552436e-05
